,tweet_id,tweetText,polarity_value,polarity_type,topic,set
3788,ID:166950581200621568,#arenasyaestaba cuando hizo participe al @ppopular en el Pacto Antiterrorista y después el @psoe se lo salto a la torera,N,DISAGREEMENT,política,train
3789,ID:166954975606476802,Estoy viendo a Contador. Se presenta como víctima de una situación kafkiana. Rezuma sinceridad por los cuatro costados.,P,DISAGREEMENT,deportes,train
3790,ID:166957246587207680,"Da a entender que es partidario de recurrir a la justicia ordinaria (""Voy a luchar hasta el final"") pero que depende de los abogados.",P,AGREEMENT,deportes,train
3791,ID:166961057229848576,"Muy bien al no entrar al trapo. ""¿Se siente perseguido por los franceses?"" ""Para nada"". Que el titular de L'Equipe se lo dé  Noah!",P,AGREEMENT,política,train
3792,ID:166962383863037952,"RT“@antonioperal:Contador:""Con la sentecia en la mano, me queda el sentimiento de que soy inocente,q no me he dopado""#ApoyoAlbertoContador”",N,DISAGREEMENT,deportes,train
3793,ID:166965613762322433,"Me han machacado pero viendo a Mari Luz (su mujer), ya con nuestra ancianidad, dices bueno, hemos hecho lo que teníamos que hacer (Ibarrola)",N,DISAGREEMENT,otros,train
3794,ID:166968739378638848,"Echandose a la calle, dicen los sindicatosMadrid q ZP ya no está para echarle la culpa. Vergonzoso.Cuando se han movilizado tanto contra él?",N,AGREEMENT,política,train
3795,ID:166970696155676672,Qué grandes los periodistas gráficos andaluces! Exposición de los premios d Andalucía 1988-2011 en el Museo de la Autonomía en Coria del Río,P,AGREEMENT,otros,train
3796,ID:166973116805943296,"¡Tócate los pies! Dejar a los niños elegir su propia comida, la mejor opción para evitar el sobrepeso infantil http://t.co/xkVdOkJu",N,AGREEMENT,otros,train
3797,ID:166976636321935361,En apenas hora y media en @75Minutos especial del Carnaval de Cádiz! Hoy vamos a llorar de risa!,P,AGREEMENT,entretenimiento,train
3798,ID:166999323433893888,"Me gusta la nueva serie de ficción de TV3, ""Mestres"". #HayQueVerQuéBuenosSomosTodos",P,AGREEMENT,cine,train
3799,ID:167012942628405248,"El Mirandés se merecía más el segundo que el Athletic el cuarto, ¿no creéis?",N,AGREEMENT,fútbol,train
3800,ID:167016258703867904,"Bueno, este gol no se celebra 6-2.",N,AGREEMENT,fútbol,train
3801,ID:167025796563742720,Ufff! Pido chovolate y aparece un RT d Llamazares... Igualito...,N,AGREEMENT,política,train
3802,ID:167026403592769537,Entre el @AthleticClub y el libro se me pasa el tiempo y mañana me esperan pronto en @cmsaleelsol. Buenas noches a todos!,P,AGREEMENT,literatura,train
3805,ID:167139238796734464,Dolor de cabeza para Merkel.? F.Holland http://t.co/WO3MB4VU,N,AGREEMENT,política,train
3807,ID:167145771119034368,Limpiar el cordón umbilical es una medida sencilla contra la mortalidad infantil http://t.co/XnFCPQ1M via @elmundoes,P,DISAGREEMENT,entretenimiento,train
3808,ID:167147580084596736,Muchas felicidades @ElPaliquedeLoma ;-) que cumplas muchos mas y que yo lo vea ;-),P,AGREEMENT,otros,train
3809,ID:167158459496804352,"Ayer hablaba de los ""liberales"" con plaza de funcionario. Tenemos otro buen ejemplo ""liberal"" http://t.co/RXaSAAcX",N,AGREEMENT,política,train
3810,ID:167159090697605120,"#Rajoy inicia su intervención en el congreso dibujando el negro panorama de la economia ""es difícil imaginar peor punto de partida""",N,AGREEMENT,política,train
3812,ID:167163558856114176,Rubalcaba toma notas a mano mientras Rajoy interviene en la tribuna. En 10 mins. se estrenará como líder del PSOE en un debate parlamentario,P,AGREEMENT,política,train
3814,ID:167167428776837120,"#Rajoy ""Mi convicción es que los frutos llegarán si desterramos la improvisaciones,evitamos los bandazos y somos tenaces en las medidas""",P,AGREEMENT,política,train
3815,ID:167169809795125248,Un ladrón que robó el móvil a un pederasta en Australia se entrega para denunciarle. ¡¡¡bien por el choro!!!,P,DISAGREEMENT,otros,train
3816,ID:167172230646734849,¿Hay margen para q el PSOE apoye la ley de estabilidad presupuestaria? ¿O el no es definitivo? #Congreso,N,AGREEMENT,política,train
3820,ID:167178373326569472,"Animado intercambio de pareceres entre la ex de Agricultura, Rosa Aguilar, y el actual titular, Arias Cañete. #Congreso",P,AGREEMENT,política,train
3822,ID:167182760002330625,Uno no sabe cuando parar.#saquenmedeaqui http://t.co/tQPnmf8Q,N,AGREEMENT,cine,train
3823,ID:167184367062491137,Rueda de prensa con el @PPSanfer para denunciar la vulneración de Derechos Fundamentales por parte del Gobierno de IU http://t.co/e8lXVNpT,N,AGREEMENT,política,train
3824,ID:167184991745355776,"""Crea tu empresa"" asesora, informa, guía, ayuda económicamente, forma y facilita espacios a los emprendedores de #sevillahoy",P,AGREEMENT,otros,train
3825,ID:167187391239565313,"Rosa10:""Den instrucciones a la fiscalía para q investiguen a aquellos dirigentes d las entidades financieras q han creado esta (cont…",N,AGREEMENT,política,train
3826,ID:167190913150488576,Buenos dias chicos!!! Pido a los ganadores del concurso para la entradas a macumba reenvien al email eventosriver84@gmail.com los nombres  !,P,AGREEMENT,otros,train
3827,ID:167192280342601729,Anoche en la calle miles de personas x los servicios públicos. ¿preludio d la huelga general q dijo Rajoy le costaría la Reforma Laboral?,N,AGREEMENT,política,train
3831,ID:167200494287192065,Ya en el COMPAC para presentar #yeswespainISDIFFERENT en MADRID 22feb al 1 abril. Entradas YA en http://t.co/Q9HzeyLP http://t.co/hUfWn780,P,AGREEMENT,entretenimiento,train
3834,ID:167209055566307329,El blanqueador que lo blanqueare buen blanqueador será. El TS cita al empresario que denunció a Blanco y a su primo http://t.co/bKwlGzVZ,N,DISAGREEMENT,otros,train
3835,ID:167211641010794496,Federación Española de Tenis denunciará a Canal+Francia x utilizar logo Federación en el video/guiñoles con Nadal y el dopaje en España.EFE,N,AGREEMENT,deportes,train
3837,ID:167215558939516928,"Vamos a hacerlo lo mejor que sepamos, riéndonos de todo, con buena música,buenos invitados y buenos guiones. Haremos el humor cada semana",P,AGREEMENT,entretenimiento,train
3841,ID:167221926408880128,Crónica del pleno de Sole Alcaide: Intercambio de papeles. Recomiendo la foto de Rubalcaba y Rosa Díez. ¿Qué se dirán? ...,P,AGREEMENT,literatura,train
3842,ID:167223204878884865,"Rubalcaba: ""Socialistas franceses y socialdemócratas alemanes tienen posiciones que convienen mucho a España, ojalá ganen""",P,AGREEMENT,política,train
3844,ID:167228967173095424,“@alfiefuentes: @AlexdelaIglesia tendrías q haber entrado en Tipos Infames! Y me hubiese dado unos consejitos con mi corto ;)” gran sitio,P,AGREEMENT,cine,train
3845,ID:167232190441201664,Aquí tenéis un vídeo de mi amigo Pinto Colorado alias @WMakinaciones tocando varios instrumentos! http://t.co/mFOQK3MA,P,AGREEMENT,música,train
3847,ID:167253954504294400,"Invercaria repartió ""casi 50 millones"" entre 2005 y 2010 ""sin control ni procedimiento"" http://t.co/lNTikM4X #Griñan y su trama",N,AGREEMENT,política,train
3849,ID:167269661363281921,No os perdáis en http://t.co/Q9HzeyLP las fotos dl estreno en Barcelona d #YesWeSpainISDIFFERENT !!;),P,AGREEMENT,cine,train
3851,ID:167286078984822786,@javiersolana me han transmitido tus saludos. Muchísimas gracias y un fuerte abrazo.,P,AGREEMENT,otros,train
3852,ID:167289800863395840,El plan de contingencia de la UE para evacuar a europeos de Siria incluye tb a los q viven en Jordania y Líbano. #Siria,P,DISAGREEMENT,política,train
3853,ID:167295151973220352,RT @JMacarro10: @AlejandroSanz canal plus! Jajajaja,P,AGREEMENT,música,train
3854,ID:167301187157229568,"Delenda est Carthago, como decía el gran Catón... Tengo un día Goscinny.",P,AGREEMENT,cine,train
3855,ID:167303149453975552,Me encanta que @esperanzaona haga este videominuto ;-)) http://t.co/0ajJkXo8,P,AGREEMENT,cine,train
3858,ID:167325571594985472,“@JoanaMorillas: @Semanaldigital Tod@s a leerlo. Besos :))”Gracias querida amiga. Besos.,P,AGREEMENT,entretenimiento,train
3861,ID:167356275577982976,"Arance,todo un referente sevillano vinculado a la construcción,echa el cierre a sus 26 tiendas y anuncia un ERE. http://t.co/fvNKO5UR",N,AGREEMENT,economía,train
3862,ID:167357027591524352,Tontos!“@quillobarrios: Los que silban el himno de España son los mismos que han pagado por ver un partido de la Copa de ESPAÑA. #VivaEspaña,N,AGREEMENT,fútbol,train
3863,ID:167367485551673344,"Me acabo de enterar de la muerte de Spinetta, una gloria del rock argentino. Que triste noticia. Lo vamos a extrañar #chauflaco",N,DISAGREEMENT,música,train
3864,ID:167380240291737600,La peor cara de la crisis. El riesgo de pobreza en España afecta a más del 20% de la población. http://t.co/vofWY5jT,N,AGREEMENT,economía,train
3866,ID:167384365628801024,Hablaba de mi disco favorito de todos los tiempos: http://t.co/oqsSreoT,P,AGREEMENT,música,train
3868,ID:167394921723080706,Muy buenas noches followeRcetes! http://t.co/7UIiRZEZ,P,AGREEMENT,cine,train
3869,ID:167412881049141249,"Si, así m siento“@Isamuga:q envidia sana m das d verte tan feliz...puede alcanzar alguien la felicidad plena??te veo radiante estos días!bs!",P,AGREEMENT,otros,train
3871,ID:167414179655987200,“@Calpena: @PaulaVazquezTV @juanmafdez ¿ves? Enamorada al fin y al cabo :p” - visto así ! Soy todo amor!!!,P,AGREEMENT,entretenimiento,train
3872,ID:167414578676899840,"“@joserro_ge: @PaulaVazquezTV Qu gusto verte tan feliz, y menuda expectación estáis creando!Bombazo fijo!- Pero s q lProducto lo merece!!!",P,AGREEMENT,entretenimiento,train
3874,ID:167466410484830210,A descansar. Os mando un abrazo. Gracias por todas las muestras de interEs y de cariño. Hasta maNana. Hoy ya es ayer.,P,AGREEMENT,música,train
3875,ID:167488787654516736,El Congreso vacío y los insultos son cosas de mitad de legislatura. Pero todo va cada vez más rápido. Y peor.,N,AGREEMENT,política,train
3879,ID:167525582224101377,En @La_SER: ''La lucha contra el déficit nos lleva a la recesión'',N,DISAGREEMENT,política,train
3881,ID:167527614955786240,"De acuerdo.“@JMEntrecanales: Impresionante agilidad en la reacción de Nike, gran publicidad. Enhorabuena http://t.co/BEfh8su9”",P,AGREEMENT,deportes,train
3882,ID:167529670689046528,"Hoy d vuelta a casa,han sido 3 días para conocer a mi equipo, al jurado y 100 concursantes!Solo contar q anoche m dormí llorando d alegría!!",P,AGREEMENT,entretenimiento,train
3884,ID:167538847905886209,"No era un filete, era Falete. En realidad Contador entrenaba con Falete sentado en el manillar, así luego se quitaba un peso de encima.",N,AGREEMENT,deportes,train
3885,ID:167544497490755584,El presidente tiene que llamar la atención a los diputados por el ruido que montan en la cámara durante la intervención de Carlos. Ni caso..,N,AGREEMENT,política,train
3886,ID:167546207021961217,Maravilla!!! Me apunto!! RT @firstFmag Un avance de lo que podréis ver en @firstFmag a partir del 15 de enero http://t.co/hn7ssBvD…,P,AGREEMENT,cine,train
3888,ID:167551934088232960,"Confirmado¡¡¡¡¡ El próximo 22 de abril, llegaremos a Bucarest Rumania.",P,AGREEMENT,música,train
3889,ID:167553364220051456,"Pues me parece muy poco serioso hablar tan mal.“@cmgorriaran: Una señoría acaba de decir ""seriosidad"" por ""seriedad"". Si, en serio!”",N,AGREEMENT,otros,train
3896,ID:167591461389484032,El ministro de Industria paraliza las infraestructuras de los fondos mineros escudándose en la baja ejecución d gobierno del PSOE. Excusas,N,AGREEMENT,política,train
3897,ID:167592391451230210,La Fundación Gregorio Ordóñez se arremete y se desmarca del decreto del Gobierno vasco. Considera que equipara a víctimas y verdugos.,N,AGREEMENT,política,train
3898,ID:167592651577769984,El Supremo condena a Garzón y lo inhabilita por el caso de las escuchas de la Gürtel.,N,AGREEMENT,política,train
3900,ID:167594035043774464,ÚLTIMA HORA: el Tribunal Supremo condena a Garzón por las escuchas a los abogados de Gurtel. Inhabilitado durante 11 años,N,AGREEMENT,política,train
3901,ID:167604343095308288,"Varias personas han desaparecido en su interior. Llega un coche, se baja un individuo, entra y desaparece. Lo observo hace días.",N,AGREEMENT,otros,train
3902,ID:167605579177672704,"La sentencia: ""No puede admitirse que una resolución sea justa sólo porque el que juez que la dicta así la considere""",N,AGREEMENT,política,train
3906,ID:167620068568600576,RT @EPAndalucia: El PP defenderá en el Senado la modificación de la Ley de Costas para garantizar los chiringuitos - http://t.co/N2qEgzDI,P,AGREEMENT,política,train
3907,ID:167626539192684544,Lo de Garzón es un chiste? Porque tiene menos gracia que los guiñoles franceses...#ApoyoaGarzón,N,AGREEMENT,política,train
3911,ID:167649311574859776,Imagino que los responsables del colegio de abogados de Madrid no sabrán dónde meterse tras la sentencia. Peor que ridículo,N,AGREEMENT,política,train
3915,ID:167666928683450370,Torres-Dulce respeta la sentencia a Garzón aunque no coincida con la posición de la Fiscalía - ABC.es http://t.co/bOaiQLeX via @abc_es,P,DISAGREEMENT,política,train
3920,ID:167685198002130944,"Terminando la el Consejo Territorial de #CiudadJardin . Lleno absoluto . Mucha participación . Nadie del @PSOEmalaga , ni @PaConejo",P,AGREEMENT,política,train
3921,ID:167687640404078592,"Guindos, pillado por un micrófono abierto: ""La reforma laboral, extremadamente agresiva"" ¿Violenta? ¿Además van a pegar a la gente?",N,AGREEMENT,política,train
3922,ID:167691426048647168,"De camino al concierto de Sergio Dalma, y me ha tocado el taxista del mes! #élvaasuritmo!!!",P,AGREEMENT,música,train
3923,ID:167697389430374401,"Agresivo, DRAE: ""que tiende a la violencia"" ""falta al respeto, ofende, provoca"" ""implica provocación o ataque"" A qué se refiere Guindos?",N,AGREEMENT,política,train
3924,ID:167705931654766592,Garzón califica la sentencia de injusta y considera q el Supremo impide la investigación de la corrupción. Y la prevaricación Baltasar?,N,AGREEMENT,política,train
3925,ID:167708771680919552,El PP defenderá en el Senado la modificación de la Ley de Costas http://t.co/AlqfeLY0 @javierarenas_pp #elcambioandaluz,P,AGREEMENT,política,train
3926,ID:167710724288811008,Máaaaaaas  majos!!!!! (Algunos ) http://t.co/r9DhC443,P,DISAGREEMENT,otros,train
3928,ID:167721166037987328,"Como el debate @DHAM_13tv tenga la intensidad del previo en @13tv_AlDia, va a arder Troya por segunda vez...",N,AGREEMENT,política,train
3931,ID:167729963754201090,"#Garzón sí paga por Gürtel, la huelga del transporte público en BCN y la reforma que abaratará el despido.http://t.co/vUsccxEF#portadaEPC",N,AGREEMENT,política,train
3932,ID:167736234100264960,Garzón en su comunicado nos dice que con él se acaba la justicia ante la corrupción en España. Tan humilde como revelador del personaje,N,AGREEMENT,política,train
3933,ID:167737985352208385,"Hoy no puedo más, se me cae el móvil.Hasra mañana. Buenas noches",N,AGREEMENT,otros,train
3934,ID:167745999589216257,Los medios extranjeros coinciden en que el juicio político a Garzón tiene que ver con el tabú de las víctimas del franquismo.,N,AGREEMENT,política,train
3935,ID:167750882333696000,"No se donde tengo las llaves, ni la agenda ni el cable del móvil ni por qué alguno me insulta. Pero aún sé dónde está la cama. Hasta mañana!",N,AGREEMENT,otros,train
3936,ID:167752143502188544,"Erich Sokol, uno de mis caricaturistas favoritos... http://t.co/xnO6sV3I",P,AGREEMENT,cine,train
3937,ID:167754064162078720,Pensamiento antes de dormir en un día aciago: fue la envidia de Abel la que hizo a Caín...,N,AGREEMENT,política,train
3938,ID:167756685077786624,Buscar el video de juanpeña de esta cobardía.,N,AGREEMENT,literatura,train
3939,ID:167762268640116736,"Me reafirmo, día histórico, el supremo defiende derechos fundamentales. Menos mal",P,AGREEMENT,política,train
3940,ID:167846234567094272,Mi felicitación a los miembros de la Comisaría de Información por la detención ayer de un terrorista de ETA... http://t.co/QEN4EoAj,P,AGREEMENT,política,train
3941,ID:167852723973259264,"El líder de Al Qaeda, Ayman al Zawahiri, anuncia, por internet, que la milicia radical islámica somalí Al Shabab se une a su red terrorista.",N,AGREEMENT,política,train
3943,ID:167859942957649920,El Ayuntamiento convocará en breve el concurso para rehabilitar el cine Astoria http://t.co/Emp9Utht via @elmundoes @malaga,P,AGREEMENT,cine,train
3944,ID:167861230772551680,'Rebecca' tendrá una nueva versión http://t.co/ZArzE9aZ,P,AGREEMENT,otros,train
3945,ID:167865564893691905,Mi FF y enhorabuena a @ManoloCastillo y a @rodrigopdl mucha suerte a los dos.,P,AGREEMENT,política,train
3946,ID:167867596937498624,El comunicado de Garzón supone calificar al TS como prevaricador. http://t.co/sAsGgnK2,N,AGREEMENT,política,train
3947,ID:167870084306567169,Los mºEducación UE discuten medidas concretas para reducir paro juvenil.Wert presenta prioridades Gobierno en educación a comisaria del ramo,P,AGREEMENT,política,train
3948,ID:167875401635471360,"Últimos 100 delfines d Maui,los + pequeños d esta especie,a punto d morir x actividad pesquera.Isla Norte,N.Zelanda,su único hábitat natural",N,AGREEMENT,otros,train
3950,ID:167894531482730496,"Ya Pleno municipal y Junta Gobierno, ahora inauguraciones (fotografía Villalar, Ayto S.Marta) y dp Jornada Voluntariado y Cena Asoc. Cáncer.",N,AGREEMENT,política,train
3952,ID:167904056151523328,Para @colegas educar en valores no es gastar mas. Es planificar una estrategia seria y coordinada #LGTB @esperanzaona @rafa_moral,P,AGREEMENT,otros,train
3953,ID:167904959482957825,"Es una falta de respeto al Deporte Nacional de muy mal gusto. Y por cierto, sin ninguna gracia.",N,AGREEMENT,deportes,train
3954,ID:167921299073667074,¡Noticias descombacantes! está disponible! http://t.co/pdWFYyRa ▸ Historias del día por @calpur100,P,AGREEMENT,cine,train
3957,ID:167939678358609920,"L'EQUILIBRISTA - de Ca n'Estruc shyraz, garnacha, cariñena. Moderno, frutal y, como no, equillibrado... http://t.co/HrFLzlXA",P,AGREEMENT,otros,train
3958,ID:167945950084608002,"El convenio entre Ayto y Com. de Madrid para rehabilitar colegios no se ha renovado. En los últimos 2 años, solo se han hecho obras menores",N,AGREEMENT,política,train
3960,ID:167948588020809728,De camino a Granada para trabajar en RAZAS de David Mamet... Y de paso me haré un par de mítines...:-),P,AGREEMENT,cine,train
3961,ID:167953452822036480,"RT @CmMarta: @barry_gibb En la empresa privada cortan cabezas por mala gestión de fondos.Si encima salen de los contribuyentes, mas aun.",N,AGREEMENT,economía,train
3963,ID:167960778232700928,La #reformalaboral permitirá que algunos desempleados que encuentren trabajo cobren sueldo y 25% del paro al mismo tiempo,P,AGREEMENT,política,train
3964,ID:167962321401020418,"Rajoy y Rubalcaba se verán el próximo miércoles para hablar de las reformas y, sobre todo, de la renovación de varias instituciones",P,AGREEMENT,política,train
3965,ID:167965638424399873,Reforma laboral: vuelta a la prohibiciónd e encadenar contratos temporales durante más de dos años.,N,AGREEMENT,política,train
3966,ID:167965929106456576,"No es reforma laboral estricta, pero va en el paquete: El Gobierno limita blindajes en los bancos con ayudas públicas  http://t.co/4EsmdJVA",N,AGREEMENT,política,train
3967,ID:167966890642259968,"#reformalaboral : mas control , para evitar situaciones de fraude en las prestaciones",P,AGREEMENT,política,train
3968,ID:167970336904720384,Enhorabuena a @FatimaBanez y a todo el Gobierno por la #reformalaboral : con esta reforma estructural damos un gran paso para salir adelante,P,AGREEMENT,política,train
3969,ID:167970766934122496,La verdad es que hacía muchos años que no escuchaba tantas medidas concretas para salir de la crisis. Las acabo de oir de @FatimaBanez,P,AGREEMENT,política,train
3970,ID:167975443838926849,"A corto plazo, bronca; a medio, empleo. Un despido de 20 días para las empresas con caída de ingresos durante 9 meses http://t.co/IatHXBcx",N,DISAGREEMENT,política,train
3972,ID:167980448381812738,#FF a @pepemadico por haberme hecho reír tanto en esta semana caótica ;),P,DISAGREEMENT,otros,train
3973,ID:167985164725661696,y #FF al gran Alfonso Ojea @alfojea,P,AGREEMENT,otros,train
3975,ID:168012010011893760,La #reformalaboral tiene muchas más cosas además del abaratamiento del despido. Aquí están las más importantes: http://t.co/MD6eJeT3,N,AGREEMENT,política,train
3976,ID:168014033704845312,"De agresión en agresión cada vez más parados y más precarios. Eso sí, al grito de acabar con el paro y la dualidad.",N,DISAGREEMENT,política,train
3977,ID:168021562652508161,Desde el sábado trabajamos intensamente con @_Rubalcaba_ para hacer una oposición útil y volver a ser alternativa de gobierno pronto,P,AGREEMENT,política,train
3978,ID:168026512648445952,La reforma laboral acaba con décadas de hiperproteccionismo heredado del franquismo en beneficio de la necesaria flexibilidad...,P,AGREEMENT,política,train
3980,ID:168031430948040705,"Viviendo India, en experiencia inolvidable #AVivirAnantapur http://t.co/XfdOgkNE",P,AGREEMENT,otros,train
3981,ID:168036125632512000,"Lo de #urdangarin. Entre urdangas, garzones y carcaños así vamos. Y la siguiente de #Garzon,por trincón.Caro Emilio    http://t.co/HJdkXnDH",N,AGREEMENT,política,train
3982,ID:168038001488826371,"Importante ""detalle"" de la reforma laboral: el despido de referencia será el de 20 días http://t.co/YpHR61BM",N,AGREEMENT,política,train
3983,ID:168052585989816320,"RT @miabuelasabia: Entre cada amanecer y puesta de sol, dedica algo de tiempo para la diversión. Feliz viernes lleno de #FF",P,AGREEMENT,música,train
3984,ID:168052624258646016,"no sé si es bueno o es malo. Ji, ji“@houjack: Al menos acabamos la clase de Políticas Económicas con un monólogo del gran @Buenafuente”",P,DISAGREEMENT,política,train
3988,ID:168057948512321536,"(2) La reforma laboral tiene aspectos interesantes en la lucha contra la economía sumergida,",P,AGREEMENT,política,train
3989,ID:168059958355705857,A base de conquistar derechos de los trabajadores hemos conquistado 5 millones de parados q han perdido su principal derecho: un trabajo.,N,AGREEMENT,política,train
3991,ID:168074952870866944,El auto de archivo es muy malo. Confío en el Supremo “@cagonsos: Jamas nos enteraremos de lo del 11M. Una verguenza”,N,DISAGREEMENT,política,train
3992,ID:168076800554041344,Mil gracias ;-))) RT @Andreita_ae: @mariviromero felicidadeees!! :) un besoo,P,AGREEMENT,otros,train
3993,ID:168083976697819136,"Viendo a José Mota, que grande!!",P,AGREEMENT,cine,train
3994,ID:168084088580874240,Ya estoy en Bruselas y la verdad hace un frio de ! Lo mejor de todo es que está llenito de Españoles! Y me han ayudado a no perderme!,P,AGREEMENT,otros,train
3995,ID:168084454617788416,¡Lo mejor de mi timeline está disponible! http://t.co/0l0HzKDb ▸ Historias del día por @pepadeltoro @anagonzalez710 @victorbg90 @discursar,P,AGREEMENT,otros,train
3996,ID:168084736546324480,Eso no s m olvida“@fonsi_nieto:me gusto mucho verte ayer... tan simpática como siempre... tenemos pendiente ir a hacer motocross.. un beso”,P,AGREEMENT,entretenimiento,train
3997,ID:168106956047912961,El @hdnegro se esta ablandando..  RT @hdnegro Callejón se come su roscón! Feliz cumpleaños Jose!!! http://t.co/X5mSZ1K0,P,AGREEMENT,fútbol,train
3998,ID:168112398664876032,Muchisimas gracias ;-)))) RT @anaroski: @mariviromero @mamenpedemonte ¡Enhorabuena!,P,AGREEMENT,otros,train
3999,ID:168112737354915840,Gracias a @PastoraSoler es un lujo compartir escenario contigo! #Banderablanca,P,AGREEMENT,música,train
4000,ID:168113267322007552,@CarmendelRiego aaarg!!!! esto no se puede hacer!!!,N,AGREEMENT,otros,train
4001,ID:168117726349500418,Buenas noches... OS QUIERO!!!,P,AGREEMENT,música,train
4003,ID:168129691776061440,mil gracias ;-)) “@ManuelDuarteQui: #enhorabuena @mariviromero ...!! Te lo mereces ... Muaa”,P,AGREEMENT,otros,train
4004,ID:168140335199952896,Joder. No me entero de nada. En Sants a las 15:30 y me pido bocadillo de tortilla francesa. Menos mal q no me ha reconocido nadie,N,AGREEMENT,otros,train
4005,ID:168224461886205952,Namasté!!! A punto de empezar A Vivir que son dos días Ser desde India. @montse_avivir @avivirser #AVivirAnantapur http://t.co/XPM7TWbE,P,AGREEMENT,otros,train
4006,ID:168236749665996800,"Oído en la calle: ""esto va de sangre, sudor y rajoy""",N,AGREEMENT,política,train
4007,ID:168251937400176640,"La tramitación de la enésima contrarreforma laboral  como real decreto es un desastre, pero todavía puede empeorar.",N,AGREEMENT,política,train
4008,ID:168255707915886592,"""Esta es una reforma en la que todos ganan, empresarios y trabajadores"", dice Rajoy en el BOE #reformalaboral",P,AGREEMENT,política,train
4010,ID:168269246537793536,"Para seguir la interesante actividad de los juzgados de Palma, recomiendo seguir a @AndreuManresa",P,AGREEMENT,política,train
4011,ID:168271647210606592,Se culpa a los trabajadores en activo d la situación d los parados. Despido barato a trabajadores con derechos para hacer contratos basura.,N,AGREEMENT,política,train
4013,ID:168278500657217536,"Diego Torres se niega a declarar por el caso Noos.Puede decir: Señoría Vd no me ha protegido mi derecho al honor,no ha guardado el sumario!",N,AGREEMENT,política,train
4014,ID:168279069505486848,"Señoria Vd no ha cumplido con su deber,Vd no es digno de juzgarme,Vd ha permitido as filtraciones constantes q han permitido mi indefensión.",N,AGREEMENT,política,train
4017,ID:168284083170983936,Música en directo por jóvenes de la @FVF_ONGD en #AVivirAnantapur,P,AGREEMENT,música,train
4018,ID:168289249878216704,Hoy a la gripe y al dolor de cabeza y oídos se ha unido una simpática calentura...#hechounoszorros,N,AGREEMENT,cine,train
4019,ID:168291253207842816,Pa habernos matao! http://t.co/x29lCTWz,N,AGREEMENT,cine,train
4020,ID:168295374941995008,"""@Javier_asturias digamos a los asturian@s la verdad, lo que queremos y vamos a hacer, contemos nuestro proyecto"" #Asturiasenpositivo",P,AGREEMENT,política,train
4021,ID:168301007388946432,".@JuanMa_Moreno : "" vamos a formar a proteger los derechos de las personas de mas de 80 años que son un 5% de la población en España""",P,AGREEMENT,política,train
4022,ID:168309166560120832,"@lazaroelmundo tb felix azon. Al parecer no se explico bien, o no se la entendio...",N,AGREEMENT,otros,train
4023,ID:168310893975838721,Siempre pido que los añadan “@eliadosom: ¿te cuesta mucho encontrar pantalones para tirantes de botón? A mí muchísimo.”,N,AGREEMENT,otros,train
4026,ID:168336125365194752,"¡Mamá, el colegio está en ruinas! http://t.co/ZmQTaK2D",N,AGREEMENT,otros,train
4027,ID:168338194977406976,"Habla el q tiene 1 millon de parados: Griñán rechaza la reforma laboral porque ""favorece la destrucción de empleo"" http://t.co/DQ6AjeU6",N,DISAGREEMENT,política,train
4028,ID:168342955558572032,Viajo con el súper DEPOR!!!;-) http://t.co/oNkBwDqX,P,AGREEMENT,música,train
4029,ID:168367128183963649,"Camacho acude a un almuerzo de homenaje a Garzón. Junto con el exministro del Interior, acuden varios magistrados de la Audiencia Nacional",P,AGREEMENT,política,train
4030,ID:168368985358872576,Wert: Andalucía necesita una mejora urgente de su sistema educativo tras 30 años de políticas erróneas #elcambioandaluz http://t.co/IQmVIt8r,N,AGREEMENT,política,train
4031,ID:168381093270138880,"Mucho en juego.Ayuda militara Egypto puede cortase. "" Top U.S. general discusses NGO case in Cairo"" http://t.co/hFQoOP5v vía @r euters",N,AGREEMENT,política,train
4033,ID:168391329343209473,Blindaremos la financiación educativa mediante un pacto de todas las formaciones políticas porque la Educación es la mejor inversión,P,AGREEMENT,política,train
4034,ID:168395251214594048,Barreda persona non grata en Villar de Canas y para la Diputacion de Cuenca http://t.co/d52JkZ47 vía @eldigitalcastillalamancha,N,AGREEMENT,política,train
4038,ID:168424428483526656,"Gesto por la Paz se despide en Bilbao. ""LORTU DUGU. LO HEMOS CONSEGUIDO.http://www.cadenaser.com/espana/articulo/gesto-paz",P,DISAGREEMENT,política,train
4041,ID:168446965561036800,Gracias GANDÍA! Por este llenazo y esta noche inolvidable!!!,P,AGREEMENT,música,train
4042,ID:168453780113850368,Leo por ahí #INDULTO a #Garzón Pero... Por qué? Indulto? Q clase de país es este xd!? Condenado por unanimidad y piden indulto... Alucino!,N,AGREEMENT,política,train
4045,ID:168505031836962816,#curiosidaddelinsomne La apuesta del Gobierno consiste en devaluar salarios. ¿Para qué tanto anuncio de reducción del número de contratos?,N,AGREEMENT,política,train
4046,ID:168508097747357697,Muy buenas noches followercetes!!! http://t.co/41zOsKDK,P,AGREEMENT,cine,train
4047,ID:168614286594293760,Soledad Gallego Díaz sobre la condena a Garzón: http://t.co/kk632o3y,N,AGREEMENT,entretenimiento,train
4050,ID:168643237161086976,La reforma es opinable pero el Gobierno con su mayoría absoluta hace lo que cree oportuno. Pero ocultar datos en la rueda de prensa? Absurdo,N,DISAGREEMENT,política,train
